Título,Género(s),Desenvolvedor(es),Publicadora(s),Data de Lançamento,Data de Lançamento,Data de Lançamento
The Last Worker,Aventura,OiffyWolf & Wood,Wired Productions,2022,2022,2022
Lego Star Wars: The Skywalker Saga,Aventura,Traveller's Tales,WB Games,TBA,TBA,TBA
Lemnis Gate,Tiro na 1ª pessoa,Ratloop Games Canada,Frontier Foundry,2021,2021,2021
Life Is Strange Remastered Collection,Graphic Aventura,Dontnod EntertainmentDeck Nine,Square Enix,2021,2021,2021
Life Is Strange: True Colors,Graphic Aventura,Deck Nine,Square Enix,10 de setembro de 2021,10 de setembro de 2021,10 de setembro de 2021
Little Devil Inside,Aventura,Neostream Interactive,Neostream Interactive,TBA,TBA,TBA
Little Nightmares II,Puzzle-platformerHorror de sobrevivência,Tarsier Studios,Bandai Namco Entertainment,2021,2021,2021
The Lord of the Rings: Gollum,Aventura,Daedalic Entertainment,Daedalic Entertainment,TBA,2021,2021
Lords of the Fallen 2,Ação role-playing,Hexworks,CI Games,TBA,TBA,TBA
Lost Judgment,Aventura,Ryu Ga Gotoku Studio,Sega,24 de setembro de 2021,24 de setembro de 2021,24 de setembro de 2021
Lost Soul Aside,Ação,Ultizero Games,Ultizero Games,TBA,TBA,TBA
Madden NFL 21,Desporto,EA Tiburon,Electronic Arts,04 de dezembro de 2021,04 de dezembro de 2021,04 de dezembro de 2021
Maneater,Ação role-playing,Tripwire InteractiveBlindside Interactive,Tripwire Interactive,16 de dezembro de 2021,12 de novembro de 2020,19 de novembro de 2020
Maquette,Puzzle,Graceful Decay,Annapurna Interactive,02 de março de 2021,02 de março de 2021,02 de março de 2021
Martha Is Dead,Psychological horror,LKA,Wired Productions,2021 Q1,2021 Q1,2021 Q1
Marvel's Avengers,Aventura,Crystal Dynamics,Square Enix,18 de março de 2021,18 de março de 2021,18 de março de 2021
Marvel's Spider-Man: Miles Morales,Aventura,Insomniac Games,Sony Interactive Entertainment,12 de novembro de 2020,12 de novembro de 2020,19 de novembro de 2020
Marvel's Spider-Man Remastered,Aventura,Insomniac Games,Sony Interactive Entertainment,12 de novembro de 2020,12 de novembro de 2020,19 de novembro de 2020
Megaton Musashi,Ação role-playing,Level-5,Level-5,TBA,Não lançado,Não lançado
Metal: Hellsinger,First-person Tirorhythm,The Outriders,Funcom,2021,2021,2021
Metro Exodus,First-person TiroHorror de sobrevivência,4A Games,Deep Silver,18 de junho de 2021,18 de junho de 2021,18 de junho de 2021
MicroMan,Action-adventuresurvival,Glob Games Studios,Glob Games Studios,TBA,TBA,TBA
MLB The Show 21,Desporto,San Diego Studio,Sony Interactive Entertainment,20 de abril de 2021,20 de abril de 2021,20 de abril de 2021
Mobile Suit Gundam: Battle Operation 2,Tiro na 3ª pessoa,Bandai Namco Studios,Bandai Namco Entertainment,28 de janeiro de 2021,28 de janeiro de 2021,28 de janeiro de 2021
Monster Boy and the Cursed Kingdom,Plataforma,Game Atelier,FDG Entertainment,TBA,TBA,TBA
Monster Energy Supercross: The Official Videogame 4,Corridas,Milestone,Milestone,11 de março de 2021,11 de março de 2021,11 de março de 2021
Monster Truck Championship,Corridas,Maximum Games,Maximum Games,Não lançado,16 de março de 2021,11 de março de 2021
Mortal Kombat 11,Fighting,NetherRealm Studios,WB Games,Não lançado,17 de novembro de 2020,19 de novembro de 2020
Mortal Shell: Enhanced Edition,Ação role-playing,Cold Symmetry,Playstack,20 de maio de 2021,04 de março de 2021,04 de março de 2021
MotoGP 21,Corridas,Milestone,Milestone,Não lançado,22 de abril de 2021,22 de abril de 2021
Mundaun,Adventurehorror,Hidden Fields,MVM Interactive,2021,2021,2021
MXGP 2020,Corridas,Milestone,Milestone,14 de janeiro de 2021,14 de janeiro de 2021,14 de janeiro de 2021
My Time at Sandrock,Role-playingSimulação,Pathea Games,Pathea Games,2022,2022,2022
NBA 2K21,Desporto,Visual Concepts,2K Desporto,12 de novembro de 2020,12 de novembro de 2020,19 de novembro de 2020
Necromunda: Hired Gun,Tiro na 1ª pessoa,Streum On Studio,Focus Home Interactive,1 de junho de 2021,1 de junho de 2021,1 de junho de 2021
Neptunia re★Verse,Role-playing,Compile Heart,Compile Heart,17 de dezembro de 2021,08 de junho de 2021,11 de junho de 2021
Neptunia Tiro,Shoot 'em up,Idea Factory International,Idea Factory,17 de dezembro de 2021,TBA,TBA
Nioh Remastered,Action role-playinghack and slash,Team Ninja,Sony Interactive EntertainmentKoei Tecmo,05 de fevereiro de 2021,05 de fevereiro de 2021,05 de fevereiro de 2021
Nioh 2 Remastered,Action role-playinghack and slash,Team Ninja,Sony Interactive EntertainmentKoei Tecmo,05 de fevereiro de 2021,05 de fevereiro de 2021,05 de fevereiro de 2021
No Man's Sky,Action-adventuresurvival,Hello Games,Hello Games,12 de novembro de 2020,12 de novembro de 2020,19 de novembro de 2020
Nour: Play With Your Food,Exploration,Terrifying Jellyfish,Panic,2021,2021,2021
Observer: System Redux,Psychological horror,Bloober Team,Aspyr,12 de novembro de 2020,12 de novembro de 2020,19 de novembro de 2020
Oddworld: Soulstorm,Plataforma,Oddworld Inhabitants,Oddworld Inhabitants,06 de abril de 2021,06 de abril de 2021,06 de abril de 2021
OlliOlli World,Desporto,Roll7,Private Division,2021,2021,2021
Open Roads,Mystery-thriller,Fullbright,Annapurna Interactive,2021,2021,2021
Operation: Tango,Aventura,Clever Plays,Clever Plays,1 de junho de 2021,1 de junho de 2021,1 de junho de 2021
Outbreak,Horror,Dead Drop Studios,Dead Drop Studios,Não lançado,14 de janeiro de 2021,14 de janeiro de 2021
Outbreak: Epidemic,Horror,Dead Drop Studios,Dead Drop Studios,Não lançado,24 de dezembro de 2021,24 de dezembro de 2021
Outbreak: Lost Hope,Horror,Dead Drop Studios,Dead Drop Studios,Não lançado,07 de janeiro de 2021,07 de janeiro de 2021
Outbreak: The New Nightmare,Horror,Dead Drop Studios,Dead Drop Studios,Não lançado,17 de dezembro de 2021,17 de dezembro de 2021
Outbreak: The Nightmare Chronicles,Horror,Dead Drop Studios,Dead Drop Studios,Não lançado,31 de dezembro de 2021,31 de dezembro de 2021
Outriders,Tiro na 3ª pessoa,People Can Fly,Square Enix,1 de abril de 2021,1 de abril de 2021,1 de abril de 2021
Overcooked! All You Can Eat,Actionfamily,Ghost Town GamesTeam17,Team17,12 de novembro de 2020,12 de novembro de 2020,19 de novembro de 2020
Override 2: Super Mech League,Beat 'em up,Modus Studios Brazil,Modus Games,22 de dezembro de 2021,22 de dezembro de 2021,22 de dezembro de 2021
Panda Hero Remastered,Plataforma,Markt & Technik,Markt & Technik,Não lançado,22 de janeiro de 2021,23 de janeiro de 2021
Paradise Lost,Aventura,PolyAmorous,All in! Games,TBA,TBA,TBA
Party Crasher Simulator,Simulação,Glob Games Studio,Glob Games Studio,2021,2021,2021
The Pathless,Aventura,Giant Squid,Annapurna Interactive,12 de novembro de 2020,12 de novembro de 2020,19 de novembro de 2020
The Pedestrian,Puzzle,Skookum Arts,Skookum Arts,Não lançado,29 de janeiro de 2021,29 de janeiro de 2021
The Persistence Enhanced,Aventura,Firesprite,Perp Games,Não lançado,04 de junho de 2021,04 de junho de 2021
Ping Redux,Arcade,Nami Tentou,Nami Tentou,Não lançado,25 de fevereiro de 2021,Não lançado
Planet Coaster: Console Edition,Simulação,Frontier Developments,Frontier Developments,12 de novembro de 2020,12 de novembro de 2020,19 de novembro de 2020
Poker Club,Card & board,Ripstone,Ripstone,Não lançado,20 de novembro de 2020,20 de novembro de 2020
Praey for the Gods,Action-adventureSobrevivência,No Matter Studios,No Matter Studios,2021 Q1,2021 Q1,2021 Q1
Pragmata,Aventura,Capcom,Capcom,TBA,TBA,TBA
Psikyo Shooting Collection,Arcadeshoot 'em up,Zerodiv,City Connection,TBA,TBA,TBA
Puyo Puyo Tetris 2,Puzzle,Sonic Team,Sega,10 de dezembro de 2021,8 de dezembro de 2021,8 de dezembro de 2021
Quantum Error,Tiro na 1ª pessoa,TeamKill Media,TeamKill Media,TBA,TBA,TBA
Ratchet & Clank: Rift Apart,Action-adventureplatform,Insomniac Games,Sony Interactive Entertainment,11 de junho de 2021,11 de junho de 2021,11 de junho de 2021
Read Only Memories: Neurodiver,Aventura,MidBoss,MidBoss,Q1 2022,Q1 2022,Q1 2022
Recompile,Plataforma,Phigames,Phigames,TBA,TBA,TBA
Renzo Racer,ArcadeCorridas,EnsenaSoft,Joindots,Não lançado,25 de janeiro de 2021,25 de janeiro de 2021
Resident Evil Village,Horror de sobrevivência,Capcom,Capcom,07 de maio de 2021,07 de maio de 2021,07 de maio de 2021
Returnal,Tiro na 3ª pessoa,Housemarque,Sony Interactive Entertainment,30 de abril de 2021,30 de abril de 2021,30 de abril de 2021
Ride 4,Corridas,Milestone,Milestone,21 de janeiro de 2021,21 de janeiro de 2021,21 de janeiro de 2021
Riders Republic,Corridas,Ubisoft Annecy,Ubisoft,2021,2021,2021
RiMS Racing,Corridas,RaceWard Studio,Nacon,19 de agosto de 2021,19 de agosto de 2021,19 de agosto de 2021
Rise of the Slime,Adventureroguelike,Bunkovsky Games,Playstack,2021 Q2,2021 Q2,2021 Q2
Rogue Company,Tiro na 3ª pessoa,First Watch Games,Hi-Rez Studios,30 de março de 2021,30 de março de 2021,30 de março de 2021
Romancelvania: BATchelor's Curse,Metroidvaniabase-building,Deep End Games,Deep End Games,2021,2021,2021
Roots of Pacha,Role-playingfarming Simulação,Soda Den,Crytivo,2021,2021,2021
Ruined King: A League of Legends Story,Role-playing,Airship Syndicate,Riot Forge,2021,2021,2021
Ruinverse,Role-playing,Exe Create,KEMCO,31 de março de 2021,01 de abril de 2021,01 de abril de 2021
Sackboy: A Big Adventure,Plataforma 3D,Sumo Digital,Sony Interactive Entertainment,12 de novembro de 2020,12 de novembro de 2020,19 de novembro de 2020
Scarlet Nexus,Ação role-playing,Bandai Namco Studios,Bandai Namco Entertainment,25 de junho de 2021,25 de junho de 2021,25 de junho de 2021
Season,Aventura,Scavengers studio,Scavengers studio,TBA,TBA,TBA
Shakedown: Hawaii,Aventura,Vblank Entertainment,Vblank Entertainment,15 de dezembro de 2021,15 de dezembro de 2021,15 de dezembro de 2021
Sherlock Holmes: Chapter One,Aventura,Frogwares,Frogwares,2021,2021,2021
Shing!,Beat 'em up,Mass Creation,Mass Creation,Não lançado,18 de março de 2021,18 de março de 2021
Sifu,Beat 'em up,Sloclap,Sloclap,2021,2021,2021
Sinfeld Remastered,Actionhorror,RareBird Games,RareBird Games,Não lançado,TBA,TBA
Sniper Ghost Warrior Contracts 2,Tactical Tirostealth,CI Games,CI Games,Não lançado,2021 Q4,2021 Q4
Solar Ash,Aventura,Heart Machine,Annapurna Interactive,2021,2021,2021
Spacelords,Aventura,MercurySteam,MercurySteam,12 de novembro de 2020,12 de novembro de 2020,19 de novembro de 2020
Spirit of the North: Enhanced Edition,Aventura,Infuse Studio,Merge Games,26 de novembro de 2020,26 de novembro de 2020,26 de novembro de 2020
Star Wars Jedi: Fallen Order,Aventura,Respawn Entertainment,Electronic Arts,2021 Q2/Q3,2021 Q2/Q3,2021 Q2/Q3
Steelrising,Action role-playingsouls-like,Spiders,Nacon,TBA,TBA,TBA
The Stone of Madness,Estratégiastealth,Teku Studios,Merge Games,TBA,TBA,TBA
Stonefly,Aventura,Flight School Studios,MWM Interactive,01 de junho de 2021,01 de junho de 2021,01 de junho de 2021
Stray,Aventurapuzzle,BlueTwelve,Annapurna Interactive,2021,2021,2021
Subnautica: Below Zero,Aventura,Unknown Worlds Entertainment,Bandai Namco Entertainment,14 de maio de 2021,14 de maio de 2021,14 de maio de 2021
Suicide Squad: Kill the Justice League,Aventura,Rocksteady Studios,WB Games,2022,2022,2022
Sumatra: Fate of Yandi,Aventura,Ratalaika Games,Ratalaika Games,Não lançado,18 de março de 2021,18 de março de 2021
Super Animal Royale,Battle royale,Pixile,Modus Games,2021,2021,2021
Sword of the Necromancer,Roguelikerole-playing,Grimorio of Games,JanduSoft,TBA,TBA,TBA
Tales of Arise,Ação role-playing,Bandai Namco Studios,Bandai Namco Entertainment,9 de setembro de 2021,10 de setembro de 2021,10 de setembro de 2021
Temtem,Adventurecreature collection,Crema,Humble Games,8 de dezembro de 2021,8 de dezembro de 2021,8 de dezembro de 2021
Terminator: Resistance Enhanced,Tiro na 1ª pessoa,Teyon,Reef Entertainment,30 de abril de 2021,30 de abril de 2021,30 de abril de 2021
Tesla Force,Tiro,10tons,10tons,Não lançado,24 de novembro de 2020,24 de novembro de 2020
Tesla vs Lovecraft,ActionarcadeTiro,10tons,10tons,Não lançado,4 de dezembro de 2021,4 de dezembro de 2021
Test Drive Unlimited Solar Crown,Corridas,Kylotonn,Nacon,TBA,TBA,TBA
Tin Hearts,Puzzle,Rogue Sun,Wired Productions,TBA,TBA,TBA
Tom Clancy's Rainbow Six Quarantine,Tactical Tiro,Ubisoft Montreal,Ubisoft,2021,2021,2021
Tom Clancy's Rainbow Six Siege,Tactical Tiro,Ubisoft Montreal,Ubisoft,1 de dezembro de 2021,1 de dezembro de 2021,1 de dezembro de 2021
Tony Hawk's Pro Skater 1 + 2,Desporto,Vicarious Visions,Activision,26 de março de 2021,26 de março de 2021,26 de março de 2021
Tormented Souls,Horror de sobrevivência,Dual EffectAbstract Digital,PQube,2021,2021,2021
Tribes of Midgard,Sobrevivência,Norsfell,Gearbox Publishing,TBA,2021,2021
Twin Robots: Ultimate Edition,Action-adventurepuzzle,Thinice Games,Ratalaika Games,Não lançado,07 de dezembro de 2021,07 de dezembro de 2021
Ultimate Fishing Simulator 2,FishingSimulação,MasterCode,Ultimate Games,TBA,2021,2021
Utawarerumono: Zan 2,Action role-playinghack and slash,Tamsoft,Aquaplus,22 de julho de 2021,TBA,TBA
Undead Horde,Role-playingreal-time strategy,10tons,10tons,Não lançado,12 de novembro de 2020,12 de novembro de 2020
Unknown 9: Awakening,Aventura,Reflector Entertainment,TBA,TBA,2021,2021
Vampire: The Masquerade – Bloodlines 2,Ação role-playing,Hardsuit Labs,Paradox Interactive,2021,2021,2021
Vampire: The Masquerade – Swansong,Ação role-playing,Big Bad Wolf,Nacon,TBA,2021,2021
Vigor,Loot Tiro,Bohemia Interactive,Bohemia Interactive,2021,2021,2021
Void Terrarium Plus,Role-playingroguelike,Nippon Ichi Software,Nippon Ichi Software,18 de fevereiro de 2021,18 de maio de 2021,21 de maio de 2021
Watch Dogs: Legion,Aventura,Ubisoft Toronto,Ubisoft,12 de novembro de 2020,12 de novembro de 2020,19 de novembro de 2020
Warframe,Action role-playingTiro na 3ª pessoa,Digital Extremes,Digital Extremes,26 de novembro de 2020,26 de novembro de 2020,26 de novembro de 2020
Warhammer: Chaosbane,Action role-playinghack and slash,Eko Software,Bigben Interactive,12 de novembro de 2020,12 de novembro de 2020,19 de novembro de 2020
War Hospital,Estratégia,Brave Lamb Studio,Movie Games,2022,2022,2022
War Mongrels,Estratégia em tempo real,Destructive Creations,All in! Games,2021,2021,2021
War Thunder,ActionCombate de Veículos,Gaijin Entertainment,Gaijin Entertainment,16 de novembro de 2020,17 de novembro de 2020,17 de novembro de 2020
Werewolf: The Apocalypse – Earthblood,Ação role-playing,Cyanide,Nacon,TBA,04 de fevereiro de 2021,04 de fevereiro de 2021
The Witcher 3: Wild Hunt,Ação role-playing,CD Projekt RedSaber Interactive,CD Projekt,2021 Q3/Q4,2021 Q3/Q4,2021 Q3/Q4
World of Warships: Legends,Combate de Veículos,Lesta Studio,Wargaming,26 de abril de 2021,26 de abril de 2021,26 de abril de 2021
Worms Rumble,Artillerybattle royalestrategy,Team17,Team17,01 de dezembro de 2021,01 de dezembro de 2021,01 de dezembro de 2021
WRC 9,CorridasSimulação,Kylotonn,Nacon,12 de novembro de 2020,12 de novembro de 2020,19 de novembro de 2020
WRC 10,CorridasSimulação,Kylotonn,Nacon,02 de setembro de 2021,02 de setembro de 2021,02 de setembro de 2021
Wreckfest,Combate de VeículosCorridas,Bugbear Entertainment,THQ Nordic,04 de maio de 2021,04 de maio de 2021,04 de maio de 2021
WWE 2K22,Desporto,Visual Concepts,2K,TBA,TBA,TBA
Yakuza: Like a Dragon,Role-playing,Ryu Ga Gotoku Studio,Sega,02 de março de 2021,02 de março de 2021,02 de março de 2021
Yuoni,Horror de sobrevivência,Tricore,Chorus Worldwide,agosto de 2021,2021,2021
Yurukill: The Calumniation Game,Shoot 'em up,G.Rev,Izanagi Games,2021,2021,2021
