Título,Gênero,Desenvolvedora,Publicadora,Data de Lançamento[b],Data de Lançamento[b],Data de Lançamento[b],Data de Lançamento[b]
Título,Gênero,Desenvolvedora,Publicadora,JP,AN,EU,BR
The Ascent,RPG de ação,Neon Giant,Curve Digital,29 de julho de 2021,29 de julho de 2021,29 de julho de 2021,29 de julho de 2021
As Dusk Falls,Aventura,Interior/Night,Xbox Game Studios,19 de julho de 2022,19 de julho de 2022,19 de julho de 2022,19 de julho de 2022
Assassin's Creed Valhalla,Ação e aventura,Ubisoft Montreal,Ubisoft,10 de novembro de 2020,10 de novembro de 2020,10 de novembro de 2020,10 de novembro de 2020
Avowed,RPG de ação,Obsidian Entertainment,Xbox Game Studios,TBA,TBA,TBA,TBA
Balan Wonderworld,Ação e aventura,Balan Company,Square Enix,26 de março de 2021,26 de março de 2021,26 de março de 2021,26 de março de 2021
Bright Memory Infinite,Tiro em primeira pessoa,FYQD Studio,Playism,21 de julho de 2022,21 de julho de 2022,21 de julho de 2022,21 de julho de 2022
Call of the Sea,Aventura e quebra-cabeça,Out of the Blue,Raw Fury Games,8 de dezembro de 2020,8 de dezembro de 2020,8 de dezembro de 2020,8 de dezembro de 2020
Chorus,Combate espacial,Fishlabs,Deep Silver,3 de dezembro de 2021,3 de dezembro de 2021,3 de dezembro de 2021,3 de dezembro de 2021
Control,Ação e aventuraTiro em terceira pessoa,Remedy Entertainment,505 Games,2 de fevereiro de 2021,2 de fevereiro de 2021,2 de fevereiro de 2021,2 de fevereiro de 2021
Crossfire X,Tiro em primeira pessoa,"Remedy Entertainment, Smilegate",Xbox Game Studios,10 de fevereiro de 2022,10 de fevereiro de 2022,10 de fevereiro de 2022,10 de fevereiro de 2022
Cyberpunk 2077,RPG de ação,CD Projekt Red,CD Projekt,15 de fevereiro de 2022,15 de fevereiro de 2022,15 de fevereiro de 2022,15 de fevereiro de 2022
Destiny 2,Tiro em primeira pessoa,Bungie,Bungie,8 de dezembro de 2020,8 de dezembro de 2020,8 de dezembro de 2020,8 de dezembro de 2020
DIRT 5,Corrida,Codemasters,Codemasters,10 de novembro de 2020,10 de novembro de 2020,10 de novembro de 2020,10 de novembro de 2020
Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,RPG de ação,Square Enix,Square Enix,4 de dezembro de 2020,4 de dezembro de 2020,4 de dezembro de 2020,—
Dragon's Dogma 2,RPG de ação,Capcom,Capcom,22 de março de 2024,22 de março de 2024,22 de março de 2024,22 de março de 2024
Dying Light 2,RPG de açãoSurvival horror,Techland,Techland Publishing,4 de fevereiro de 2022,4 de fevereiro de 2022,4 de fevereiro de 2022,4 de fevereiro de 2022
Echo Generation,RPG baseado em turnos,Cococucumber,Cococucumber,TBA,TBA,TBA,TBA
Everwild,TBA,Rare,Xbox Game Studios,TBA,TBA,TBA,TBA
Exomecha,Tiro em primeira pessoa,TwistedRed,TwistedRed,TBA,TBA,TBA,TBA
Fable,RPG de ação,Playground Games,Xbox Game Studios,TBA,TBA,TBA,TBA
Far Cry 6,Tiro em primeira pessoa,Ubisoft Montreal,Ubisoft,7 de outubro de 2021,7 de outubro de 2021,7 de outubro de 2021,7 de outubro de 2021
FIFA 21,Esporte,EA Vancouver,Electronic Arts,3 de dezembro de 2020,3 de dezembro de 2020,3 de dezembro de 2020,3 de dezembro de 2020
Fortnite,Battle royaleSandboxSobrevivência,Epic Games,Epic Games,10 de novembro de 2020,10 de novembro de 2020,10 de novembro de 2020,10 de novembro de 2020
Forza Horizon 4,Corrida,Playground Games,Microsoft Studios,10 de novembro de 2020,10 de novembro de 2020,10 de novembro de 2020,10 de novembro de 2020
Forza Motorsport,Corrida,Turn 10 Studios,Xbox Game Studios,10 de outubro de 2023,10 de outubro de 2023,10 de outubro de 2023,10 de outubro de 2023
Gears 5,Tiro em terceira pessoa,The Coalition,Xbox Game Studios,10 de novembro de 2020,10 de novembro de 2020,10 de novembro de 2020,10 de novembro de 2020
Gears Tactics,Estratégia por turnos,"The Coalition, Splash Damage",Xbox Game Studios,10 de novembro de 2020,10 de novembro de 2020,10 de novembro de 2020,10 de novembro de 2020
Grand Theft Auto V,Ação e aventura,Rockstar North,Rockstar Games,15 de março de 2022,15 de março de 2022,15 de março de 2022,15 de março de 2022
Grounded,Ação e aventuraSobrevivência,Obsidian Entertainment,Xbox Game Studios,27 de setembro de 2022,27 de setembro de 2022,27 de setembro de 2022,27 de setembro de 2022
The Gunk,Ação e aventura,Image & Form Games,Thunderful,16 de dezembro de 2021,16 de dezembro de 2021,16 de dezembro de 2021,16 de dezembro de 2021
Halo Infinite,Tiro em primeira pessoa,343 Industries,Xbox Game Studios,8 de dezembro de 2021,8 de dezembro de 2021,8 de dezembro de 2021,8 de dezembro de 2021
Hello Neighbor 2,StealthSurvival horror,Dynamic Pixels,TinyBuild,6 de dezembro de 2022,6 de dezembro de 2022,6 de dezembro de 2022,6 de dezembro de 2022
Hitman III,Stealth,IO Interactive,IO Interactive,20 de janeiro de 2021,20 de janeiro de 2021,20 de janeiro de 2021,—
Immortals Fenyx Rising,Ação e aventura,Ubisoft Quebec,Ubisoft,3 de dezembro de 2020,3 de dezembro de 2020,3 de dezembro de 2020,3 de dezembro de 2020
The Lord of the Rings: Gollum,Ação e aventura,Daedalic Entertainment,Daedalic Entertainment,25 de maio de 2023,25 de maio de 2023,25 de maio de 2023,25 de maio de 2023
Madden NFL 21,Esporte,EA Tiburon,Electronic Arts,—,4 de dezembro de 2020,—,—
Madden NFL 22,Esporte,EA Tiburon,Electronic Arts,—,20 de agosto de 2021,—,—
Madden NFL 23,Esporte,EA Tiburon,Electronic Arts,—,19 de agosto de 2022,—,—
Madden NFL 24,Esporte,EA Tiburon,Electronic Arts,—,18 de agosto de 2023,—,—
Marvel's Avengers,Ação e aventura,Crystal Dynamics,Square Enix,18 de março de 2021,18 de março de 2021,18 de março de 2021,18 de março de 2021
The Medium,Terror psicológico,Bloober Team,Bloober Team,28 de janeiro de 2021,28 de janeiro de 2021,28 de janeiro de 2021,28 de janeiro de 2021
Microsoft Flight Simulator,Simulação de vôo amador,Asobo Studio,Xbox Game Studios,27 de julho de 2021,27 de julho de 2021,27 de julho de 2021,27 de julho de 2021
MLB The Show 21,Esporte,San Diego Studio,"MLB Advanced Media, Cokem International",20 de abril de 2021,20 de abril de 2021,20 de abril de 2021,—
MLB The Show 22,Esporte,San Diego Studio,"MLB Advanced Media, Cokem International",5 de abril de 2022,5 de abril de 2022,5 de abril de 2022,—
MLB The Show 23,Esporte,San Diego Studio,"MLB Advanced Media, Cokem International",28 de março de 2023,28 de março de 2023,28 de março de 2023,—
Mortal Kombat 1,Luta,NetherRealm Studios,Warner Bros. Games,—,19 de setembro de 2023,19 de setembro de 2023,19 de setembro de 2023
Mortal Kombat 11,Luta,NetherRealm Studios,Warner Bros. Games,—,17 de novembro de 2020,19 de novembro de 2020,17 de novembro de 2020
NBA 2K21,Esporte,Visual Concepts,2K Sports,10 de novembro de 2020,10 de novembro de 2020,10 de novembro de 2020,—
NBA 2K22,Esporte,Visual Concepts,2K Sports,10 de setembro de 2021,10 de setembro de 2021,10 de setembro de 2021,—
NBA 2K23,Esporte,Visual Concepts,2K Sports,9 de setembro de 2022,9 de setembro de 2022,9 de setembro de 2022,—
NBA 2K24,Esporte,Visual Concepts,2K Sports,8 de setembro de 2023,8 de setembro de 2023,8 de setembro de 2023,—
Observer: System Redux,Terror psicológico,Bloober Team,Aspyr,10 de novembro de 2020,10 de novembro de 2020,10 de novembro de 2020,10 de novembro de 2020
Ori and the Will of the Wisps,Plataforma e aventuraMetroidvania,Moon Studios,Xbox Game Studios,10 de novembro de 2020,10 de novembro de 2020,10 de novembro de 2020,10 de novembro de 2020
Orphan of the Machine,Metroidvania,Dynamic Voltage Games,Dynamic Voltage Games,TBA,TBA,TBA,TBA
The Outer Worlds: Spacer's Choice Edition,RPG de ação,Obsidian Entertainment,Private Division,7 de março de 2023,7 de março de 2023,7 de março de 2023,7 de março de 2023
The Outer Worlds 2,RPG de ação,Obsidian Entertainment,Xbox Game Studios,TBA,TBA,TBA,TBA
Outriders,Tiro em terceira pessoa,People Can Fly,Square Enix,1 de abril de 2021,1 de abril de 2021,1 de abril de 2021,1 de abril de 2021
Phantasy Star Online 2: New Genesis,RPG de ação,Sega,Sega,TBA,9 de junho de 2021,TBA,TBA
Planet Coaster: Console Edition,Construção e gerenciamento,Frontier Developments,Frontier Developments,10 de novembro de 2020,10 de novembro de 2020,10 de novembro de 2020,10 de novembro de 2020
Pragmata,TBA,Capcom,Capcom,TBA,TBA,TBA,TBA
Psychonauts 2,Plataforma 3DAção e aventura,Double Fine Productions,Xbox Game Studios,25 de agosto de 2021,25 de agosto de 2021,25 de agosto de 2021,25 de agosto de 2021
Resident Evil Village,Survival horror,Capcom,Capcom,7 de maio de 2021,7 de maio de 2021,7 de maio de 2021,7 de maio de 2021
Recompile,Metroidvania,Phigames,Dear Villagers,TBA,TBA,TBA,TBA
Scarlet Nexus,Ação e aventura,Bandai Namco,Bandai Namco,TBA,TBA,TBA,TBA
Scorn,Tiro em primeira pessoaSurvival horror,Ebb Software,Ebb Software,TBA,TBA,TBA,TBA
Sea of Thieves,Ação e aventura,Rare,Xbox Game Studios,Festividades de 2020,Festividades de 2020,Festividades de 2020,Festividades de 2020
Second Extinction,Tiro em primeira pessoa,Systemic Reaction,Avalanche Studios Group,TBA,TBA,TBA,TBA
Senua's Saga: Hellblade II,Ação e aventura,Ninja Theory,Xbox Game Studios,TBA,TBA,TBA,TBA
Sherlock Holmes: Chapter One,Aventura,Frogwares,Frogwares,TBA,TBA,TBA,TBA
S.T.A.L.K.E.R 2,Tiro em primeira pessoaSurvival horror,GSC Game World,GSC Game World,TBA,TBA,TBA,TBA
State of Decay 3,Ação e aventuraSurvival horror,Undead Labs,Xbox Game Studios,TBA,TBA,TBA,TBA
Tell Me Why,Aventura,Dontnod Entertainment,Xbox Game Studios,Festividades de 2020,Festividades de 2020,Festividades de 2020,Festividades de 2020
Tetris Effect: Connected,Quebra-cabeça,"Monstars, Resonair",Enhance Games,TBA,TBA,TBA,TBA
Tom Clancy's Rainbow Six Quarantine,Tiro tático,Ubisoft,Ubisoft,TBA,TBA,TBA,TBA
Tom Clancy's Rainbow Six Siege,Tiro tático,Ubisoft Montreal,Ubisoft,TBA,TBA,TBA,TBA
Ultimate Fishing Simulator 2,Esporte,Ultimate Games,Ultimate Games,TBA,TBA,TBA,TBA
Vampire: The Masquerade – Bloodlines 2,Ação e aventura,Hardsuit Labs,Paradox Interactive,TBA,TBA,TBA,TBA
Vampire: The Masquerade – Swansong,RPG de ação,Big Bad Wolf,Nacon,TBA,2021,2021,2021
Warframe,Tiro em terceira pessoa,Digital Extremes,Digital Extremes,TBA,TBA,TBA,TBA
Warhammer: Chaosbane,RPG de açãoHack and slash,Eko Software,Bigben Interactive,TBA,TBA,TBA,TBA
"Warhammer 40,000: Darktide",Ação e aventura,Fatshark,Fatshark,2021,2021,2021,2021
Watch Dogs: Legion,Ação e aventura,Ubisoft Toronto,Ubisoft,TBA,TBA,TBA,TBA
Werewolf: The Apocalypse – Earthblood,RPG de ação,Cyanide,Nacon,TBA,4 de fevereiro de 2021,4 de fevereiro de 2021,4 de fevereiro de 2021
WRC 9: World Rally Championship,Corrida,Kylotonn,Nacon,TBA,TBA,TBA,TBA
Yakuza: Like a Dragon,Ação e aventura,Ryu Ga Gotoku Studio,Sega,TBA,TBA,TBA,TBA
